architecture,train_setting,model_key,condition,test_file,n,rouge1_mean,rouge2_mean,rougeL_mean,rougeLsum_mean,bertscore_f1_mean,entity_f1_ref_mean,source_supported_entity_rate_mean,unsupported_entity_rate_mean,number_f1_ref_mean,unsupported_number_rate_mean,source_token_support_rate_mean,sentence_support_proxy_mean,distinct_1_mean,distinct_2_mean,repetition_2gram_rate_mean
BART-base,clean_matched,bart_base_clean_matched,clean,test_clean.jsonl,500,0.3245582346521148,0.08660285751434837,0.19497284688741565,0.19497284688741565,0.8394410140514373,0.0,,0.0,0.02530008308243602,0.027399999999999997,0.7103149904323744,0.7269288459200332,0.6300654608163471,0.9216262460655226,0.07837375393447753
BART-base,clean_matched,bart_base_clean_matched,easy_additive,test_noisy_easy_additive.jsonl,500,0.2952458729130566,0.07088808683830702,0.17985249212572413,0.17985249212572413,0.8318115745782853,0.0,0.0,0.002,0.021292695539754363,0.004666666666666666,0.7706086228675098,0.7814083713835422,0.650249568884835,0.9281316986496635,0.0718683013503365
BART-base,clean_matched,bart_base_clean_matched,easy_substitutive,test_noisy_easy_substitutive.jsonl,500,0.25854108159727646,0.05060165701256598,0.16519014140728672,0.16519014140728672,0.8222361167669296,0.0,,0.0,0.003904761904761905,0.01992424242424242,0.714756599695595,0.7324845878791171,0.6303810172576239,0.918098511464511,0.08190148853548895
BART-base,clean_matched,bart_base_clean_matched,hard_additive,test_noisy_hard_additive.jsonl,500,0.27378342594828486,0.05995251383898243,0.1679727816648342,0.1679727816648342,0.8269062621593475,0.0,,0.0,0.021067521367521366,0.009833333333333335,0.8111617661234807,0.8170307146281245,0.6790582129437445,0.9388895866799142,0.06111041332008594
BART-base,clean_matched,bart_base_clean_matched,hard_substitutive,test_noisy_hard_substitutive.jsonl,500,0.23760852998781065,0.042804530411712706,0.15403532491597077,0.15403532491597077,0.8186456192731857,0.0,,0.0,0.007333333333333333,0.018985714285714286,0.7754139768598194,0.783422922655843,0.6672251806056269,0.9321223947574632,0.06787760524253676
BART-base,noiseaware,bart_base_noiseaware,clean,test_clean.jsonl,500,0.3153351386717712,0.08300627321458667,0.18964640689882542,0.18964640689882542,0.8379011156558991,0.0,,0.0,0.018788243043506198,0.025,0.7294655856466543,0.7462941239345119,0.6401261067092424,0.9247841736198942,0.0752158263801058
BART-base,noiseaware,bart_base_noiseaware,easy_additive,test_noisy_easy_additive.jsonl,500,0.2891488417063373,0.06913538386364373,0.177621493936346,0.177621493936346,0.8319625692367554,0.0,,0.0,0.015392261492261491,0.029133333333333334,0.7692844090392822,0.7819395441196992,0.6477118766794095,0.9265561288284169,0.07344387117158312
BART-base,noiseaware,bart_base_noiseaware,easy_substitutive,test_noisy_easy_substitutive.jsonl,500,0.2513705483416178,0.05059790707416362,0.1621725608046047,0.1621725608046047,0.8224140088558197,0.0,,0.0,0.005589635854341736,0.02291190476190476,0.7214813112992352,0.7384033904774465,0.6339980168776822,0.9179815770115313,0.08201842298846873
BART-base,noiseaware,bart_base_noiseaware,hard_additive,test_noisy_hard_additive.jsonl,500,0.28582493533422665,0.06845450782032918,0.17568075750258397,0.17568075750258397,0.8310120724439621,0.0,,0.0,0.016177953829116618,0.015707142857142857,0.79566291657738,0.8073318288755399,0.6591592741925478,0.9304337291232725,0.06956627087672736
BART-base,noiseaware,bart_base_noiseaware,hard_substitutive,test_noisy_hard_substitutive.jsonl,500,0.24102278562635837,0.045251767502937267,0.15595309694220763,0.15595309694220763,0.820774640917778,0.0,,0.0,0.0044666666666666665,0.020038095238095237,0.7725645605005617,0.7853285614878059,0.6601161856967326,0.9274754290819609,0.07252457091803916
T5-base,clean_matched,t5_base_clean_matched,clean,test_clean.jsonl,500,0.31868525607794945,0.0801403555968752,0.18614899859692075,0.18614899859692075,0.8363085508346557,0.0,0.0,0.004,0.029769352869352866,0.014766666666666666,0.7961061281650805,0.8043423462228281,0.6829163706287841,0.9525891050669396,0.04741089493306038
T5-base,clean_matched,t5_base_clean_matched,easy_additive,test_noisy_easy_additive.jsonl,500,0.28970130710124314,0.0660418731932707,0.17267533042695812,0.17267533042695812,0.8287394348382949,0.0,,0.0,0.023339682539682542,0.015645238095238094,0.8325841580072187,0.8353364765836446,0.6964028694978492,0.9579700461181151,0.04202995388188484
T5-base,clean_matched,t5_base_clean_matched,easy_substitutive,test_noisy_easy_substitutive.jsonl,500,0.25300367758256653,0.04584051052171179,0.15570361601230712,0.15570361601230712,0.8190905448198319,0.0,0.0,0.002,0.007644444444444444,0.011583333333333333,0.8043824772783564,0.8119470466129273,0.6882066124994237,0.9550690752002806,0.044930924799719524
T5-base,clean_matched,t5_base_clean_matched,hard_additive,test_noisy_hard_additive.jsonl,500,0.271591028907852,0.05674971365029806,0.16438834282595008,0.16438834282595008,0.8243420195579528,0.0,0.0,0.002,0.016945352686529157,0.0038545454545454547,0.8565655292012982,0.8557668977213057,0.7118173091369823,0.9628353554941244,0.03716464450587565
T5-base,clean_matched,t5_base_clean_matched,hard_substitutive,test_noisy_hard_substitutive.jsonl,500,0.24336272401435816,0.04351047321093158,0.1513884958642547,0.1513884958642547,0.8172436058521271,0.0,,0.0,0.007933333333333334,0.0171,0.8429865483655012,0.8456077949907926,0.7037013109355096,0.959198632048323,0.040801367951677
T5-base,noiseaware,t5_base_noiseaware,clean,test_clean.jsonl,500,0.31171389683079775,0.07771672107816956,0.18221362419786566,0.18221362419786566,0.8347908984422684,0.0,0.0,0.002,0.023979423844129728,0.018333333333333337,0.7980610082533633,0.8119569209052124,0.6824934780425447,0.9526141601233631,0.04738583987663694
T5-base,noiseaware,t5_base_noiseaware,easy_additive,test_noisy_easy_additive.jsonl,500,0.2828272382821354,0.06272689552851594,0.1688694791139185,0.1688694791139185,0.827397448182106,0.0,0.0,0.004,0.022314472455648927,0.007335130278526504,0.8253530154003824,0.8325689748637656,0.690383475028092,0.9556102987989887,0.044389701201011246
T5-base,noiseaware,t5_base_noiseaware,easy_substitutive,test_noisy_easy_substitutive.jsonl,500,0.24689020477637427,0.043158497864168685,0.15332974155879567,0.15332974155879567,0.818980108499527,0.0,0.0,0.006,0.0051111111111111105,0.017977777777777777,0.8054170638429793,0.8197540398369721,0.6753154625502134,0.94840515285333,0.05159484714667001
T5-base,noiseaware,t5_base_noiseaware,hard_additive,test_noisy_hard_additive.jsonl,500,0.2767259360161737,0.06075668015700498,0.16711379468775006,0.16711379468775006,0.8265155454874039,0.0,,0.0,0.017666666666666664,0.005316666666666667,0.8470319046389693,0.8510879478581279,0.6948993024477079,0.9573138449654042,0.042686155034595795
T5-base,noiseaware,t5_base_noiseaware,hard_substitutive,test_noisy_hard_substitutive.jsonl,500,0.2391763520585289,0.04271098151351618,0.15071471603895895,0.15071471603895895,0.8177448410987854,0.0,,0.0,0.0071503267973856205,0.012583333333333332,0.8301620683425773,0.8405091494147537,0.6957506231644068,0.956102487443379,0.04389751255662099
